Titulo,SKU,Precio original,Precio descuento,Precio Envio,Stock
"Memoria RAM HPE DDR4, 2933MHz, 16GB, CL21, Dual Rank x8",SKU: P00922-B21,"$13,644.00","$3,929.00",Envío gratis,i
"Vorago Silla Gamer CGC500, hasta 120kg, Negro/Azul",SKU: CGC-500/BL,"$3,641.00","$2,949.00",Envío gratis,i
